source,target,p_val,lag
COP,V,0.0002688366583197269,5
COP,WMT,1.830414165680626e-10,4
COP,XOM,2.1402403415440624e-06,4
CVX,AAPL,3.879285215181023e-09,4
CVX,ABBV,0.0003526782901968198,5
CVX,AMZN,2.7202271397041266e-05,1
CVX,BAC,8.994369480066089e-07,4
CVX,BRK-B,8.966955143815521e-06,4
CVX,COP,1.9707279963015606e-07,4
CVX,GE,0.020394348257882344,4
CVX,GOOGL,8.524685061088418e-06,4
CVX,GS,1.0181586654640162e-06,4
CVX,HD,3.18942264699097e-10,4
CVX,HON,1.069334184851044e-05,4
CVX,JNJ,1.4048129717375061e-10,3
CVX,JPM,0.014630522359246638,4
CVX,LLY,8.003625967209976e-06,2
CVX,META,5.2790200366065314e-05,1
CVX,MSFT,3.6180422935327436e-11,4
CVX,NEE,3.005102564239667e-11,4
CVX,NKE,1.1394942497418216e-05,4
CVX,NVDA,7.250650093748135e-06,4
CVX,PFE,0.0002081518353463774,3
CVX,SLB,2.3578033427195196e-05,5
CVX,TSLA,0.036264177581273524,4
CVX,UNH,7.106957872621634e-05,3
CVX,UPS,0.001995950699389625,4
CVX,V,6.078081941439643e-08,4
CVX,WMT,1.998204802759911e-12,3
CVX,XOM,5.417852764770102e-09,4
GE,AMZN,0.023668123814346145,2
GE,COP,0.0390467306718608,2
GE,CVX,0.034223339736555586,2
GE,HD,0.004312230160999555,2
GE,JNJ,0.0066634238412132465,3
GE,MSFT,0.027626579174192593,1
GE,NEE,0.020493181991894587,3
GE,NVDA,0.037740341177501545,1
GE,SLB,0.03471959424099794,3
GE,UNH,0.02052064547461003,5
GE,UPS,0.006488462588329574,2
GE,WMT,0.0017673103668333998,1
GE,XOM,0.0006259699386318939,3
GOOGL,AMZN,0.0008398032206629122,3
GOOGL,BA,5.702627228467023e-05,1
GOOGL,BAC,0.03417790523497608,1
GOOGL,CAT,0.007718421367849404,1
GOOGL,COP,0.04726483118509272,1
GOOGL,CVX,0.03765655811694359,1
GOOGL,HD,0.0018418773946564995,1
GOOGL,HON,0.018671129508760667,1
GOOGL,JNJ,0.008671338694425693,1
GOOGL,MSFT,0.005138947638695009,3
GOOGL,NVDA,0.00019087786859611162,1
GOOGL,PFE,0.011521846007308456,1
GOOGL,UPS,0.01281525008412216,1
GOOGL,WMT,0.022566986552864172,1
GOOGL,XOM,0.037588442503244515,2
GS,AAPL,0.0003996110003841306,3
GS,ABBV,1.4051649216280796e-06,5
GS,AMZN,0.005764998657134712,2
GS,BA,0.0010168050434554987,2
GS,BRK-B,0.015073059954124396,2
GS,CAT,0.005064792876193269,2
GS,COP,0.03759330678195502,4
GS,CVX,0.005133610257582286,5
GS,GE,0.0058394552813821835,5
GS,GOOGL,0.0002923116033039662,2
GS,HD,4.381232923028082e-09,4
GS,HON,0.03811642145255199,2
